CollectionID,LoanID,CollectionDate,CollectionMethod,CollectionResult
COL000001,LOAN003889,2024-01-04,Phone,Success
COL000002,LOAN006319,2022-11-30,Phone,Failure
COL000003,LOAN006064,2023-11-13,SMS,Failure
COL000004,LOAN000862,2023-03-13,SMS,Success
COL000005,LOAN007985,2025-04-05,In-person,Failure
COL000006,LOAN003936,2021-12-29,Phone,Success
COL000007,LOAN002031,2022-03-31,SMS,Failure
COL000008,LOAN001714,2021-08-11,In-person,Success
COL000009,LOAN000268,2024-04-16,SMS,Success
COL000010,LOAN003154,2022-08-26,In-person,Failure
COL000011,LOAN000179,2024-05-20,In-person,Failure
COL000012,LOAN004716,2024-02-29,Phone,Success
COL000013,LOAN007784,2024-11-25,Phone,Success
COL000014,LOAN006071,2025-01-20,Phone,Failure
COL000015,LOAN009009,2022-08-28,SMS,Failure
COL000016,LOAN006653,2023-11-03,Phone,Failure
COL000017,LOAN003468,2023-02-03,In-person,Failure
COL000018,LOAN001596,2025-01-16,Phone,Failure
COL000019,LOAN009212,2025-09-01,SMS,Success
COL000020,LOAN006530,2020-08-11,Phone,Success
COL000021,LOAN005248,2021-09-27,Phone,Success
COL000022,LOAN005761,2025-03-25,In-person,Failure
COL000023,LOAN003821,2022-07-02,In-person,Failure
COL000024,LOAN000791,2021-12-28,SMS,Success
COL000025,LOAN003395,2020-05-08,SMS,Success
COL000026,LOAN002111,2024-09-28,Phone,Success
COL000027,LOAN009857,2021-11-23,Phone,Failure
COL000028,LOAN005252,2022-08-29,Phone,Failure
COL000029,LOAN001054,2022-05-20,Phone,Success
COL000030,LOAN005306,2021-02-16,In-person,Success
COL000031,LOAN009746,2024-10-04,SMS,Failure
COL000032,LOAN001952,2024-09-08,Phone,Failure
COL000033,LOAN007671,2025-06-28,Phone,Success
COL000034,LOAN002322,2022-06-22,SMS,Success
COL000035,LOAN009261,2026-05-20,SMS,Success
COL000036,LOAN009373,2021-07-07,Phone,Failure
COL000037,LOAN002376,2021-01-04,In-person,Failure
COL000038,LOAN001759,2022-01-30,SMS,Success
COL000039,LOAN009644,2022-12-14,In-person,Failure
COL000040,LOAN002709,2022-11-02,In-person,Failure
COL000041,LOAN006423,2025-06-24,SMS,Success
COL000042,LOAN002132,2024-06-03,SMS,Failure
COL000043,LOAN002088,2024-11-28,SMS,Failure
COL000044,LOAN009778,2021-07-14,Phone,Success
COL000045,LOAN009516,2020-07-04,In-person,Failure
COL000046,LOAN003193,2021-12-24,In-person,Success
COL000047,LOAN004745,2023-07-28,Phone,Success
COL000048,LOAN004310,2024-02-16,Phone,Success
COL000049,LOAN001330,2021-06-24,Phone,Failure
COL000050,LOAN004156,2022-09-17,In-person,Success
COL000051,LOAN000429,2023-03-22,In-person,Failure
COL000052,LOAN000771,2028-08-07,In-person,Success
COL000053,LOAN007710,2021-03-17,Phone,Success
COL000054,LOAN002206,2022-10-14,Phone,Success
COL000055,LOAN007678,2023-11-24,SMS,Success
COL000056,LOAN009084,2023-08-21,Phone,Success
COL000057,LOAN009435,2023-09-15,In-person,Failure
COL000058,LOAN007339,2022-08-01,Phone,Success
COL000059,LOAN004899,2020-06-12,Phone,Success
COL000060,LOAN002745,2024-03-01,Phone,Failure
COL000061,LOAN006167,2020-07-31,In-person,Failure
COL000062,LOAN007919,2023-05-16,SMS,Success
COL000063,LOAN007505,2023-01-07,Phone,Success
COL000064,LOAN009506,2022-09-30,SMS,Success
COL000065,LOAN007576,2020-10-04,Phone,Success
COL000066,LOAN009065,2024-11-24,In-person,Failure
COL000067,LOAN003794,2023-12-03,SMS,Failure
COL000068,LOAN005389,2020-03-19,Phone,Success
COL000069,LOAN003185,2021-03-07,Phone,Failure
COL000070,LOAN001956,2025-04-18,Phone,Success
COL000071,LOAN009553,2023-12-17,In-person,Failure
COL000072,LOAN007618,2025-03-01,Phone,Success
COL000073,LOAN004690,2023-03-02,In-person,Success
COL000074,LOAN003185,2020-11-07,Phone,Failure
COL000075,LOAN000538,2023-05-02,Phone,Success
COL000076,LOAN006688,2023-07-01,Phone,Success
COL000077,LOAN008863,2023-04-04,Phone,Failure
COL000078,LOAN004944,2024-07-17,Phone,Failure
COL000079,LOAN007781,2027-04-28,Phone,Failure
COL000080,LOAN009806,2021-04-22,SMS,Success
COL000081,LOAN008091,2022-03-05,In-person,Success
COL000082,LOAN003692,2023-06-28,SMS,Failure
COL000083,LOAN005635,2023-07-22,Phone,Success
COL000084,LOAN003226,2019-10-13,Phone,Failure
COL000085,LOAN002828,2024-11-01,Phone,Success
COL000086,LOAN000357,2025-01-06,SMS,Failure
COL000087,LOAN007106,2021-11-14,Phone,Failure
COL000088,LOAN005860,2024-08-18,Phone,Success
COL000089,LOAN004112,2019-09-18,Phone,Success
COL000090,LOAN003346,2022-05-31,In-person,Failure
COL000091,LOAN002611,2021-05-01,SMS,Success
COL000092,LOAN002587,2027-02-06,SMS,Success
COL000093,LOAN005383,2021-06-04,SMS,Success
COL000094,LOAN007724,2022-08-21,SMS,Success
COL000095,LOAN009050,2020-10-10,In-person,Success
