FeedbackID,CustomerID,Rating,Comment
FB000001,CUST04819,3,Friendly staff
FB000002,CUST03909,5,Great service
FB000003,CUST01161,4,Will recommend to others
FB000004,CUST00127,5,Excellent experience
FB000005,CUST01717,4,Friendly staff
FB000006,CUST04252,3,Very satisfied
FB000007,CUST02556,4,Friendly staff
FB000008,CUST04379,3,Long wait times
FB000009,CUST02219,2,Great service
FB000010,CUST02731,3,Great service
FB000011,CUST03419,4,Friendly staff
FB000012,CUST03112,4,Will recommend to others
FB000013,CUST04321,5,Long wait times
FB000014,CUST01656,5,Quick approval
FB000015,CUST01227,4,Unhappy with the service
FB000016,CUST00443,4,Excellent experience
FB000017,CUST04320,5,Long wait times
FB000018,CUST04872,4,Could be improved
FB000019,CUST04522,2,Very satisfied
FB000020,CUST02386,2,Great service
FB000021,CUST04907,3,Quick approval
FB000022,CUST03300,4,Very satisfied
FB000023,CUST04813,4,Could be improved
FB000024,CUST03948,5,Will recommend to others
FB000025,CUST00870,5,Quick approval
FB000026,CUST03746,5,Excellent experience
FB000027,CUST02588,1,Great service
FB000028,CUST01142,4,Very satisfied
FB000029,CUST01572,5,Great service
FB000030,CUST04157,4,Excellent experience
FB000031,CUST04279,5,Will recommend to others
FB000032,CUST00643,3,Great service
FB000033,CUST00167,5,Very satisfied
FB000034,CUST02156,5,Quick approval
FB000035,CUST03708,5,Unhappy with the service
FB000036,CUST01579,3,Will recommend to others
FB000037,CUST03062,3,Quick approval
FB000038,CUST02927,5,Long wait times
FB000039,CUST04745,3,Need better communication
FB000040,CUST02529,5,Excellent experience
FB000041,CUST00803,3,Long wait times
FB000042,CUST00874,4,Could be improved
FB000043,CUST00380,3,Unhappy with the service
FB000044,CUST04733,5,Unhappy with the service
FB000045,CUST02269,3,Quick approval
FB000046,CUST02988,4,Friendly staff
FB000047,CUST01091,5,Could be improved
FB000048,CUST03640,4,Will recommend to others
FB000049,CUST04124,2,Very satisfied
FB000050,CUST04792,4,Will recommend to others
