CustomerID,Age,Gender,MonthlyIncome,EmploymentStatus,Location
CUST00001,56,Female,89911,Unemployed,Urban
CUST00002,46,Male,39631,Self-employed,Rural
CUST00003,32,Male,19884,Unemployed,Urban
CUST00004,60,Female,21910,Employed,Rural
CUST00005,25,Female,83500,Employed,Rural
CUST00006,38,Male,69897,Employed,Urban
CUST00007,56,Female,46147,Employed,Urban
CUST00008,36,Female,24609,Self-employed,Rural
CUST00009,40,Male,31134,Employed,Rural
CUST00010,28,Female,24456,Employed,Rural
CUST00011,28,Female,46897,Employed,Urban
CUST00012,41,Female,34512,Employed,Urban
CUST00013,53,Female,23335,Employed,Urban
CUST00014,57,Male,35545,Employed,Urban
CUST00015,41,Male,32814,Self-employed,Urban
CUST00016,20,Male,7056,Employed,Urban
CUST00017,39,Male,78950,Self-employed,Urban
CUST00018,19,Male,22753,Employed,Urban
CUST00019,41,Female,81941,Self-employed,Urban
CUST00020,61,Female,84140,Employed,Rural
CUST00021,47,Female,34234,Unemployed,Urban
CUST00022,55,Female,29636,Self-employed,Urban
CUST00023,19,Female,103376,Employed,Urban
CUST00024,38,Male,80783,Employed,Urban
CUST00025,50,Male,141249,Employed,Rural
CUST00026,29,Male,93025,Self-employed,Urban
CUST00027,39,Female,36447,Employed,Rural
CUST00028,61,Male,16713,Employed,Urban
CUST00029,42,Female,24858,Employed,Rural
CUST00030,44,Male,38347,Self-employed,Urban
CUST00031,59,Female,39472,Self-employed,Urban
CUST00032,45,Female,66524,Employed,Rural
CUST00033,33,Female,33619,Employed,Urban
CUST00034,32,Female,24539,Self-employed,Rural
CUST00035,64,Female,68857,Self-employed,Urban
CUST00036,61,Female,88362,Employed,Rural
CUST00037,20,Female,23903,Employed,Rural
CUST00038,54,Female,55364,Self-employed,Rural
CUST00039,24,Female,50449,Employed,Urban
CUST00040,38,Male,46401,Employed,Urban
CUST00041,26,Male,4806,Self-employed,Rural
CUST00042,56,Male,869,Employed,Rural
CUST00043,35,Male,26079,Self-employed,Urban
CUST00044,21,Male,49856,Employed,Urban
CUST00045,42,Female,140075,Unemployed,Urban
CUST00046,31,Female,78140,Employed,Rural
CUST00047,26,Female,53659,Self-employed,Urban
CUST00048,43,Male,136370,Employed,Urban
CUST00049,19,Male,91352,Employed,Urban
