LoanID,CustomerID,LoanType,LoanAmount,LoanTermMonths,InterestRate,DisbursementDate,ApprovalTimeDays
LOAN000001,CUST03221,Normal Loan,795493,22,0.1,2023-07-21,7
LOAN000002,CUST03640,Maziwa Loan,371673,23,0.09,2019-07-17,12
LOAN000003,CUST00078,Green Energy Loan,89136,19,0.07,2021-12-03,1
LOAN000004,CUST00647,Additional Loan,56264,10,0.1,2020-07-04,1
LOAN000005,CUST01103,Special Advance,46346,12,0.06,2020-05-19,1
LOAN000006,CUST04936,Seasonal Advance,405160,20,0.08,2021-05-01,7
LOAN000007,CUST00248,Seasonal Advance,385590,12,0.08,2020-05-21,13
LOAN000008,CUST03760,Avocado Loan,341501,47,0.11,2020-12-08,10
LOAN000009,CUST03293,Special Advance,83147,11,0.06,2023-09-04,1
LOAN000010,CUST01151,Additional Loan,215101,18,0.1,2019-11-14,13
LOAN000011,CUST01939,Green Energy Loan,304434,17,0.07,2021-05-07,10
LOAN000012,CUST05000,Maziwa Loan,68175,6,0.09,2020-11-07,3
LOAN000013,CUST00414,Green Energy Loan,101285,32,0.07,2019-08-05,8
LOAN000014,CUST03691,Jipange Loan,490644,22,0.08,2024-05-16,10
LOAN000015,CUST00676,Additional Loan,33802,9,0.1,2020-03-09,3
LOAN000016,CUST03250,Additional Loan,473603,19,0.1,2022-07-31,10
LOAN000017,CUST02130,Additional Loan,429298,8,0.1,2022-07-14,7
LOAN000018,CUST01410,Boda Boda Loan,576227,34,0.12,2019-08-24,8
LOAN000019,CUST01710,Normal Loan,289351,23,0.1,2019-04-10,8
LOAN000020,CUST00333,Boda Boda Loan,511538,45,0.12,2024-11-05,12
LOAN000021,CUST02344,Green Energy Loan,38467,31,0.07,2020-07-04,3
LOAN000022,CUST00441,Seasonal Advance,445281,16,0.08,2020-05-31,13
LOAN000023,CUST04808,Salary Advance,65259,6,0.05,2019-01-09,3
LOAN000024,CUST04591,Boda Boda Loan,299912,38,0.12,2020-04-05,12
LOAN000025,CUST00529,Additional Loan,50425,12,0.1,2024-07-04,3
LOAN000026,CUST01818,Salary Advance,61793,4,0.05,2024-10-13,3
LOAN000027,CUST03623,Emergency Loan,13500,9,0.09,2024-03-06,2
LOAN000028,CUST02243,Green Energy Loan,191464,13,0.07,2021-01-31,14
LOAN000029,CUST02546,Normal Loan,330157,59,0.1,2024-05-09,8
LOAN000030,CUST04249,Seasonal Advance,100483,23,0.08,2024-12-04,11
