RepaymentID,LoanID,RepaymentDate,RepaymentAmount,RepaymentStatus,PaymentMethod
RP0000001,LOAN008806,2024-10-16,7812.43,On Time,M-Pesa
RP0000002,LOAN006594,2026-03-22,10113.57,On Time,M-Pesa
RP0000003,LOAN008770,2022-09-27,10723.1,On Time,M-Pesa
RP0000004,LOAN006195,2019-04-18,33191.85,On Time,Bank Transfer
RP0000005,LOAN009289,2024-07-31,7695.42,On Time,M-Pesa
RP0000006,LOAN000167,2025-05-08,3661.67,On Time,Cash
RP0000007,LOAN006109,2024-06-01,5976.69,On Time,M-Pesa
RP0000008,LOAN003889,2024-01-04,23713.16,Late,M-Pesa
RP0000009,LOAN006319,2022-11-30,40246.0,Late,M-Pesa
RP0000010,LOAN005412,2020-03-27,5963.82,On Time,M-Pesa
RP0000011,LOAN001763,2025-07-27,9123.83,On Time,M-Pesa
RP0000012,LOAN003244,2019-11-24,4683.48,On Time,M-Pesa
RP0000013,LOAN007357,2021-04-04,5530.95,On Time,M-Pesa
RP0000014,LOAN006281,2021-09-23,18012.28,On Time,M-Pesa
RP0000015,LOAN002352,2023-12-22,2385.58,On Time,M-Pesa
RP0000016,LOAN007442,2024-02-22,41463.86,On Time,M-Pesa
RP0000017,LOAN006234,2023-03-04,6418.91,On Time,M-Pesa
RP0000018,LOAN008574,2021-12-01,29618.9,On Time,M-Pesa
RP0000019,LOAN003229,2019-07-11,6738.42,On Time,M-Pesa
RP0000020,LOAN006064,2023-11-13,968.41,Late,M-Pesa
RP0000021,LOAN000167,2025-05-08,3661.67,On Time,M-Pesa
RP0000022,LOAN005527,2021-11-02,20514.81,On Time,M-Pesa
RP0000023,LOAN007192,2021-07-25,19486.91,On Time,M-Pesa
RP0000024,LOAN003052,2020-07-10,37505.56,On Time,Cash
RP0000025,LOAN000862,2023-03-13,38262.51,Late,M-Pesa
RP0000026,LOAN003541,2022-11-19,10639.26,On Time,M-Pesa
RP0000027,LOAN007985,2025-04-05,66812.18,Late,M-Pesa
RP0000028,LOAN005743,2025-11-06,17734.11,On Time,M-Pesa
RP0000029,LOAN004554,2022-09-23,7326.37,On Time,M-Pesa
RP0000030,LOAN003588,2021-03-02,4835.5,On Time,M-Pesa
RP0000031,LOAN007742,2020-11-15,6211.23,On Time,M-Pesa
RP0000032,LOAN008722,2020-05-12,6633.74,On Time,M-Pesa
RP0000033,LOAN002669,2021-10-10,77210.7,On Time,M-Pesa
RP0000034,LOAN000896,2023-09-21,21205.8,On Time,M-Pesa
RP0000035,LOAN009854,2020-01-27,7153.9,On Time,M-Pesa
RP0000036,LOAN000320,2024-06-12,2726.59,On Time,M-Pesa
RP0000037,LOAN001637,2021-11-02,20536.67,On Time,M-Pesa
RP0000038,LOAN000692,2023-04-30,27936.93,On Time,M-Pesa
RP0000039,LOAN006436,2024-04-03,21148.94,On Time,M-Pesa
RP0000040,LOAN002352,2024-08-18,2385.58,On Time,Cash
RP0000041,LOAN003936,2021-12-29,7517.14,Late,M-Pesa
RP0000042,LOAN001269,2021-02-26,11384.31,On Time,M-Pesa
RP0000043,LOAN000244,2022-09-30,4974.9,On Time,M-Pesa
RP0000044,LOAN004955,2020-11-23,19793.65,On Time,M-Pesa
RP0000045,LOAN002473,2024-07-16,23307.96,On Time,M-Pesa
RP0000046,LOAN008152,2025-09-15,2876.92,On Time,M-Pesa
RP0000047,LOAN004829,2023-09-09,23723.4,On Time,M-Pesa
RP0000048,LOAN003893,2023-10-17,3195.19,On Time,M-Pesa
RP0000049,LOAN002599,2024-04-29,5246.25,On Time,M-Pesa
RP0000050,LOAN000594,2019-12-26,12287.55,On Time,M-Pesa
RP0000051,LOAN002031,2022-03-31,13290.82,Late,M-Pesa
RP0000052,LOAN007613,2024-12-07,15925.29,On Time,M-Pesa
RP0000053,LOAN005176,2024-04-29,37053.98,On Time,M-Pesa
RP0000054,LOAN003337,2026-02-17,10924.48,On Time,M-Pesa
RP0000055,LOAN001714,2021-08-11,13789.73,Defaulted,M-Pesa
RP0000056,LOAN001995,2020-01-15,5866.23,On Time,M-Pesa
RP0000057,LOAN000268,2024-04-16,5928.22,Late,M-Pesa
RP0000058,LOAN008578,2024-02-27,6360.96,On Time,Bank Transfer
RP0000059,LOAN009690,2020-07-07,904.19,On Time,M-Pesa
RP0000060,LOAN003089,2020-05-03,10732.84,On Time,M-Pesa
RP0000061,LOAN007147,2023-06-20,56916.63,On Time,M-Pesa
RP0000062,LOAN002851,2023-04-25,4159.68,On Time,M-Pesa
RP0000063,LOAN006607,2022-10-12,21470.94,On Time,M-Pesa
RP0000064,LOAN004296,2023-01-02,8584.79,On Time,Cash
RP0000065,LOAN004064,2025-12-21,7369.14,On Time,Bank Transfer
RP0000066,LOAN004386,2023-06-17,22449.71,On Time,M-Pesa
RP0000067,LOAN003083,2021-06-01,3094.89,On Time,M-Pesa
RP0000068,LOAN007901,2019-09-10,4412.47,On Time,Bank Transfer
RP0000069,LOAN003154,2022-08-26,16005.38,Late,M-Pesa
RP0000070,LOAN009554,2024-05-12,10052.95,On Time,M-Pesa
RP0000071,LOAN007948,2022-09-02,12770.86,On Time,M-Pesa
RP0000072,LOAN002934,2022-02-24,5052.75,On Time,M-Pesa
RP0000073,LOAN000179,2024-05-20,12851.05,Late,M-Pesa
RP0000074,LOAN003667,2023-10-27,3450.02,On Time,M-Pesa
RP0000075,LOAN009305,2025-02-19,2741.88,On Time,M-Pesa
RP0000076,LOAN004716,2024-02-29,24265.88,Late,M-Pesa
RP0000077,LOAN007355,2020-08-18,14912.41,On Time,M-Pesa
RP0000078,LOAN000514,2021-11-03,5937.06,On Time,M-Pesa
RP0000079,LOAN004229,2020-11-18,13590.54,On Time,M-Pesa
RP0000080,LOAN007830,2020-05-24,53983.41,On Time,M-Pesa
RP0000081,LOAN002977,2020-03-04,10863.24,On Time,M-Pesa
RP0000082,LOAN007660,2023-02-22,15181.29,On Time,M-Pesa
RP0000083,LOAN009884,2024-05-26,22438.84,On Time,M-Pesa
RP0000084,LOAN005774,2023-03-07,6268.39,On Time,M-Pesa
RP0000085,LOAN007784,2024-11-25,34269.6,Late,M-Pesa
RP0000086,LOAN005227,2024-05-11,20080.0,On Time,M-Pesa
RP0000087,LOAN005834,2024-09-23,8248.83,On Time,Bank Transfer
RP0000088,LOAN000169,2028-11-21,15661.42,On Time,M-Pesa
RP0000089,LOAN007823,2022-01-06,20661.27,On Time,M-Pesa
RP0000090,LOAN006955,2025-11-26,2231.72,On Time,M-Pesa
RP0000091,LOAN006071,2025-01-20,64506.57,Defaulted,M-Pesa
RP0000092,LOAN009009,2022-08-28,4900.37,Defaulted,M-Pesa
RP0000093,LOAN006653,2023-11-03,4469.49,Defaulted,M-Pesa
RP0000094,LOAN002194,2023-08-16,16980.27,On Time,Bank Transfer
RP0000095,LOAN002897,2022-06-26,17966.96,On Time,M-Pesa
RP0000096,LOAN002457,2019-11-02,4212.36,On Time,M-Pesa
RP0000097,LOAN003468,2023-02-03,2276.01,Late,M-Pesa
RP0000098,LOAN003029,2022-08-19,8449.2,On Time,M-Pesa
RP0000099,LOAN002653,2024-03-24,4002.63,On Time,M-Pesa
RP0000100,LOAN002115,2025-03-15,3488.63,On Time,M-Pesa
RP0000101,LOAN004807,2026-10-23,18264.8,On Time,M-Pesa
RP0000102,LOAN001596,2025-01-16,52634.44,Late,M-Pesa
RP0000103,LOAN001889,2021-07-03,5924.38,On Time,M-Pesa
RP0000104,LOAN007386,2026-02-13,4575.29,Prepaid,M-Pesa
RP0000105,LOAN000939,2023-07-10,6736.65,Prepaid,M-Pesa
RP0000106,LOAN005280,2021-10-16,15297.22,On Time,M-Pesa
RP0000107,LOAN003555,2024-09-07,2670.97,On Time,Bank Transfer
RP0000108,LOAN008533,2021-08-02,8562.5,On Time,M-Pesa
RP0000109,LOAN002228,2023-05-02,7716.08,On Time,M-Pesa
RP0000110,LOAN001278,2020-07-18,8188.23,On Time,M-Pesa
RP0000111,LOAN009212,2025-09-01,12104.8,Late,M-Pesa
RP0000112,LOAN007352,2024-05-24,32806.92,On Time,M-Pesa
RP0000113,LOAN000840,2021-11-27,43156.93,On Time,M-Pesa
RP0000114,LOAN006530,2020-08-11,4040.7,Late,M-Pesa
RP0000115,LOAN002291,2021-10-14,4978.23,On Time,M-Pesa
RP0000116,LOAN008027,2021-07-20,5694.83,On Time,M-Pesa
RP0000117,LOAN001956,2025-09-15,35157.97,On Time,M-Pesa
RP0000118,LOAN004234,2019-11-16,34106.87,On Time,M-Pesa
RP0000119,LOAN003420,2023-12-20,28042.67,On Time,M-Pesa
RP0000120,LOAN006737,2024-04-05,11049.77,On Time,M-Pesa
RP0000121,LOAN008318,2022-06-06,15202.75,On Time,M-Pesa
RP0000122,LOAN007513,2024-02-26,6439.02,On Time,M-Pesa
RP0000123,LOAN007375,2021-12-27,9469.16,On Time,M-Pesa
RP0000124,LOAN003932,2021-02-01,23073.03,On Time,M-Pesa
RP0000125,LOAN003839,2025-01-27,28297.24,On Time,M-Pesa
RP0000126,LOAN000258,2020-07-05,25382.81,On Time,M-Pesa
RP0000127,LOAN005248,2021-09-27,7733.58,Defaulted,M-Pesa
RP0000128,LOAN008746,2021-09-19,8108.28,On Time,M-Pesa
RP0000129,LOAN005343,2021-04-10,4994.6,On Time,M-Pesa
RP0000130,LOAN004703,2024-04-06,10044.74,On Time,M-Pesa
RP0000131,LOAN005761,2025-03-25,25962.82,Late,M-Pesa
RP0000132,LOAN009938,2020-06-12,3028.61,On Time,M-Pesa
RP0000133,LOAN006314,2020-08-03,20889.21,On Time,M-Pesa
RP0000134,LOAN006821,2019-11-29,7673.21,On Time,M-Pesa
RP0000135,LOAN001002,2027-10-02,12513.51,On Time,M-Pesa
RP0000136,LOAN002182,2023-04-26,5417.19,On Time,M-Pesa
RP0000137,LOAN000370,2024-03-28,39899.73,On Time,M-Pesa
RP0000138,LOAN000863,2023-08-16,3953.47,On Time,M-Pesa
RP0000139,LOAN003821,2022-07-02,11335.26,Late,M-Pesa
RP0000140,LOAN004270,2021-10-16,8187.5,On Time,Bank Transfer
RP0000141,LOAN001334,2025-01-08,29410.94,On Time,M-Pesa
